Tarih;Ay;Ana Depo;Depo;Kontak Tipi;GLN;Kontak Adı;Kontak Brick;Ürün;Kategori;Form;Satış Adet;Satış MF;Toplam Satış
24.07.2026;202607;SELÇUK ECZA DEPOSU;SELÇUK SAMSUN;Eczane;8680001174577;SEVGİ ECZANESİ;TOKAT MERKEZ -2;PANOCER;ASLAN;Panocer 40 mg 28 Enterik Kaplı Tablet;50;25;75
24.07.2026;202607;SELÇUK ECZA DEPOSU;SELÇUK SAMSUN;Eczane;8680001669493;SIRIM ECZANESİ;SAMSUN ULUGAZI;PANOCER;ASLAN;Panocer 40 mg 28 Enterik Kaplı Tablet;50;25;75
24.07.2026;202607;ALLIANCE HEALTHCARE;AH ERZURUM;Eczane;8680001109982;ŞAFAK ECZANESİ;ERZURUM MERKEZ -3;PANOCER;ASLAN;Panocer 40 mg 28 Enterik Kaplı Tablet;2;0;2
24.07.2026;202607;SELÇUK ECZA DEPOSU;SELÇUK TRABZON;Eczane;8680001168699;ŞAHİN ECZANESİ;GIRESUN DOGU ILCELER -1;ACİDPASS;ASLAN;Acidpass 10/800/165 mg 12 Çiğneme Tablet;1;0;1
24.07.2026;202607;SELÇUK ECZA DEPOSU;SELÇUK SAMSUN;Eczane;8680001635337;ŞEN ECZANESİ;SAMSUN VEZIRKOPRU;FAMTREC;ASLAN;Famtrec 800/26,6mg 14 Film Kaplı Tablet;10;2;12
24.07.2026;202607;ALLIANCE HEALTHCARE;AH SAMSUN;Eczane;8680001199297;ŞENBİL ECZANESİ;TOKAT BATI ILCELER;ACİDPASS;ASLAN;Acidpass 10/800/165 mg 12 Çiğneme Tablet;3;0;3
24.07.2026;202607;ALLIANCE HEALTHCARE;AH SAMSUN;Eczane;8680001199297;ŞENBİL ECZANESİ;TOKAT BATI ILCELER;ACİDPASS;ASLAN;Acidpass 10/800/165 mg 12 Çiğneme Tablet;5;0;5
24.07.2026;202607;SELÇUK ECZA DEPOSU;SELÇUK SAMSUN;Eczane;8680001146987;ŞİFA ECZANESİ;SIVAS GUNEY ILCELER;ACİDPASS;ASLAN;Acidpass 10/800/165 mg 12 Çiğneme Tablet;5;0;5
24.07.2026;202607;SELÇUK ECZA DEPOSU;SELÇUK SAMSUN;Eczane;8680001554294;TARIK ECZANESİ;SIVAS MERKEZ -2;PANOCER;ASLAN;Panocer 40 mg 28 Enterik Kaplı Tablet;4;0;4
24.07.2026;202607;SELÇUK ECZA DEPOSU;SELÇUK SAMSUN;Eczane;8680001160853;TAŞOVA ECZANESİ;AMASYA GOYNUCEK+TASOVA;MOKSEFEN;ASLAN;Moksefen 400 mg 7 Film Tablet;10;3;13
24.07.2026;202607;NEVZAT ECZA DEPOSU;NEVZAT ERZURUM;Eczane;8680001691029;TEKBİR ECZANESİ;VAN KUZEY ILCELER;ACİDPASS;ASLAN;Acidpass 10/800/165 mg 12 Çiğneme Tablet;3;0;3
