Tarih;Ana Depo;Depo;GLN;Kontak Adı;Kontak Brick;Ürün;Form;Satış Adet;Satış MF;Toplam Satış;Toplam Tutar;İade
02.08.2026;SELÇUK ECZA DEPOSU;SELÇUK ERZURUM;8680001682836;KÜÇÜKBEY ECZANESİ;ERZURUM MERKEZ -3;ACİDPASS;Acidpass 10/800/165 mg 12 Çiğneme Tablet;20;3;23;2.581;
02.08.2026;SELÇUK ECZA DEPOSU;SELÇUK ERZURUM;8680001868513;KONGRE EZCANESİ;ERZURUM MERKEZ -2;GRİPORT COLD;Griport Cold 20 Film Kaplı Tablet;5;1;6;505;
02.08.2026;SELÇUK ECZA DEPOSU;SELÇUK ERZURUM;8680001907236;MAHMUTPAŞA ECZANESİ;AGRI ILCELER;MOKSEFEN;Moksefen 400 mg 7 Film Tablet;5;1;6;894;
02.08.2026;SELÇUK ECZA DEPOSU;SELÇUK SAMSUN;8680001493647;SELİN ECZANESİ;ORDU MERKEZ -1;MOKSEFEN;Moksefen 400 mg 7 Film Tablet;5;1;6;894;
02.08.2026;SELÇUK ECZA DEPOSU;SELÇUK SAMSUN;8680001486359;SU ECZANESİ;ORDU GUNEY ILCELER -1;PANOCER;Panocer 40 mg 28 Enterik Kaplı Tablet;50;25;75;7.898;
02.08.2026;SELÇUK ECZA DEPOSU;SELÇUK ERZURUM;8680001470860;IHLAMUR ECZANESİ;ERZINCAN MERKEZ;PANOCER;Panocer 40 mg 28 Enterik Kaplı Tablet;10;3;13;1.369;
02.08.2026;ALLIANCE HEALTHCARE;AH ERZURUM;8680001800322;SAĞLIK ECZANESİ;AGRI DIYADIN+D.BEYAZIT;PANOCER;Panocer 40 mg 28 Enterik Kaplı Tablet;20;6;26;2.738;
02.08.2026;ALLIANCE HEALTHCARE;AH ORDU;8680001276967;DOĞA ECZANESİ;ORDU FATSA;PANOCER;Panocer 40 mg 28 Enterik Kaplı Tablet;10;3;13;1.369;
02.08.2026;SELÇUK ECZA DEPOSU;SELÇUK ERZURUM;8680001714285;DERMAN ECZANESİ;ERZURUM GUNEY ILCELER;PANOCER;Panocer 40 mg 28 Enterik Kaplı Tablet;10;3;13;1.369;
02.08.2026;SELÇUK ECZA DEPOSU;SELÇUK TRABZON;8680001422494;DEMİRKILIÇ ECZANESİ;GIRESUN BULANCAK+PIRAZIZ;PANOCER;Panocer 40 mg 28 Enterik Kaplı Tablet;10;3;13;1.369;
03.08.2026;SELÇUK ECZA DEPOSU;SELÇUK TRABZON;8680001123858;ŞİFA ECZANESİ;RIZE BATI ILCELER;ACİDPASS;Acidpass 10/800/165 mg 12 Çiğneme Tablet;50;15;65;7.295;
03.08.2026;SELÇUK ECZA DEPOSU;SELÇUK TRABZON;8680001274529;ÇAĞLA ECZANESİ;TRABZON MERKEZ -3;ACİDPASS;Acidpass 10/800/165 mg 12 Çiğneme Tablet;3;0;3;337;
03.08.2026;SELÇUK ECZA DEPOSU;SELÇUK TRABZON;8680001527892;FEYZA ECZANESİ;TRABZON DOGU ILCELER - 2;ACİDPASS;Acidpass 10/800/165 mg 12 Çiğneme Tablet;2;0;2;224;
03.08.2026;SELÇUK ECZA DEPOSU;SELÇUK TRABZON;8680001651689;MERVE ECZANESİ;TRABZON AKCAABAT;ACİDPASS;Acidpass 10/800/165 mg 12 Çiğneme Tablet;3;0;3;337;
03.08.2026;SELÇUK ECZA DEPOSU;SELÇUK TRABZON;8680001492497;ÖMÜR ECZANESİ;ARTVIN MERKEZ+DOGU+GUNEY;ACİDPASS;Acidpass 10/800/165 mg 12 Çiğneme Tablet;10;1;11;1.235;
03.08.2026;SELÇUK ECZA DEPOSU;SELÇUK TRABZON;8680001428786;ŞAHİN ECZANESİ;TRABZON DOGU ILCELER - 2;ACİDPASS;Acidpass 10/800/165 mg 12 Çiğneme Tablet;30;4;34;3.816;
03.08.2026;SELÇUK ECZA DEPOSU;SELÇUK ERZURUM;8680001749003;DENİZ ECZANESİ;ERZINCAN MERKEZ;ACİDPASS;Acidpass 10/800/165 mg 12 Çiğneme Tablet;5;0;5;561;
03.08.2026;SELÇUK ECZA DEPOSU;SELÇUK ERZURUM;8680001743117;ZEHRA ECZANESİ;ERZINCAN MERKEZ;ACİDPASS;Acidpass 10/800/165 mg 12 Çiğneme Tablet;10;1;11;1.235;
03.08.2026;SELÇUK ECZA DEPOSU;SELÇUK TRABZON;8680001132485;YENİ BAYRAKTAR ECZANESİ;ARTVIN KUZEY ILCELER;ACİDPASS;Acidpass 10/800/165 mg 12 Çiğneme Tablet;10;1;11;1.235;
03.08.2026;SELÇUK ECZA DEPOSU;SELÇUK ERZURUM;8680001714285;DERMAN ECZANESİ;ERZURUM GUNEY ILCELER;ACİDPASS;Acidpass 10/800/165 mg 12 Çiğneme Tablet;3;0;3;337;
03.08.2026;SELÇUK ECZA DEPOSU;SELÇUK SAMSUN;8680001158553;ERMAN ECZANESİ;CORUM MERKEZ -1;ACİDPASS;Acidpass 10/800/165 mg 12 Çiğneme Tablet;2;0;2;224;
03.08.2026;SELÇUK ECZA DEPOSU;SELÇUK SAMSUN;8680001510504;BÜŞRA BULUT ECZANESİ;TOKAT MERKEZ -1;ACİDPASS;Acidpass 10/800/165 mg 12 Çiğneme Tablet;1;0;1;112;
03.08.2026;İSTANBUL ECZA KOOP;İSKOOP MERKEZ;8680001104079;GÜNBEYAZ ECZANESİ;SAMSUN ULUGAZI;ACİDPASS;Acidpass 10/800/165 mg 12 Çiğneme Tablet;3;0;3;337;
03.08.2026;İSTANBUL ECZA KOOP;İSKOOP MERKEZ;8680001237388;GÜMÜŞ ECZANESİ;TOKAT ERBAA;ACİDPASS;Acidpass 10/800/165 mg 12 Çiğneme Tablet;10;1;11;1.235;
03.08.2026;SELÇUK ECZA DEPOSU;SELÇUK TRABZON;8680001474653;ÇATAK ECZANESİ;TRABZON MERKEZ -1;ACİDPASS;Acidpass 10/800/165 mg 12 Çiğneme Tablet;2;0;2;224;
03.08.2026;SELÇUK ECZA DEPOSU;SELÇUK TRABZON;8680001213023;AYŞEGÜL ECZANESİ;GIRESUN DOGU ILCELER -1;ACİDPASS;Acidpass 10/800/165 mg 12 Çiğneme Tablet;2;0;2;224;
03.08.2026;SELÇUK ECZA DEPOSU;SELÇUK TRABZON;8680001749447;DENİZ ECZANESİ;ARTVIN MERKEZ+DOGU+GUNEY;ACİDPASS;Acidpass 10/800/165 mg 12 Çiğneme Tablet;50;15;65;7.295;
03.08.2026;SELÇUK ECZA DEPOSU;SELÇUK TRABZON;8680001198634;ÇUKURÇAYIR ECZANESİ;TRABZON MERKEZ -3;ACİDPASS;Acidpass 10/800/165 mg 12 Çiğneme Tablet;20;3;23;2.581;
03.08.2026;SELÇUK ECZA DEPOSU;SELÇUK SAMSUN;8680001130108;HOCAOĞLU ECZANESİ;SAMSUN BAHCELIEVLER;ACİDPASS;Acidpass 10/800/165 mg 12 Çiğneme Tablet;10;1;11;1.235;
03.08.2026;SELÇUK ECZA DEPOSU;SELÇUK SAMSUN;8680001488490;ALTUNDAĞ ECZANESİ;SAMSUN HAVZA+KAVAK+LADIK;ACİDPASS;Acidpass 10/800/165 mg 12 Çiğneme Tablet;10;1;11;1.235;
03.08.2026;SELÇUK ECZA DEPOSU;SELÇUK SAMSUN;8680001688579;SÜNBÜLCÜ ECZANESİ;CORUM MERKEZ -3;ACİDPASS;Acidpass 10/800/165 mg 12 Çiğneme Tablet;10;1;11;1.235;
03.08.2026;SELÇUK ECZA DEPOSU;SELÇUK SAMSUN;8680001869817;GOKSEL ECZANESİ;SINOP GUNEY ILCELER;ACİDPASS;Acidpass 10/800/165 mg 12 Çiğneme Tablet;2;0;2;224;
03.08.2026;SELÇUK ECZA DEPOSU;SELÇUK SAMSUN;8680001276912;DİLEK ECZANESİ;ORDU FATSA;ACİDPASS;Acidpass 10/800/165 mg 12 Çiğneme Tablet;50;15;65;7.295;
03.08.2026;SELÇUK ECZA DEPOSU;SELÇUK SAMSUN;8680001549382;BENGİ ECZANESİ;SAMSUN ILKADIM - 2;ACİDPASS;Acidpass 10/800/165 mg 12 Çiğneme Tablet;2;0;2;224;
03.08.2026;SELÇUK ECZA DEPOSU;SELÇUK SAMSUN;8680001499301;GİZEM ECZANESİ;AMASYA MERZIFON;ACİDPASS;Acidpass 10/800/165 mg 12 Çiğneme Tablet;10;1;11;1.235;
03.08.2026;SELÇUK ECZA DEPOSU;SELÇUK SAMSUN;8680001416783;FATİH ECZANESİ;CORUM MERKEZ -1;ACİDPASS;Acidpass 10/800/165 mg 12 Çiğneme Tablet;50;15;65;7.295;
03.08.2026;SELÇUK ECZA DEPOSU;SELÇUK SAMSUN;8680001417087;FİKRİ KARTAL ECZANESİ;CORUM KUZEY ILCELER;ACİDPASS;Acidpass 10/800/165 mg 12 Çiğneme Tablet;3;0;3;337;
03.08.2026;İSTANBUL ECZA KOOP;İSKOOP MERKEZ;8680001130283;VİTAMİN ECZANESİ;AMASYA MERKEZ -2;ACİDPASS;Acidpass 10/800/165 mg 12 Çiğneme Tablet;3;0;3;337;
03.08.2026;İSTANBUL ECZA KOOP;İSKOOP MERKEZ;8680001156009;ŞİFA ECZANESİ;CORUM KARGI+OSMANCIK;ACİDPASS;Acidpass 10/800/165 mg 12 Çiğneme Tablet;3;0;3;337;
03.08.2026;İSTANBUL ECZA KOOP;İSKOOP MERKEZ;8680001729524;BARIŞ ECZANESİ;TOKAT TURHAL;ACİDPASS;Acidpass 10/800/165 mg 12 Çiğneme Tablet;10;1;11;1.235;
03.08.2026;SELÇUK ECZA DEPOSU;SELÇUK ERZURUM;8680001104253;ALTUNYILDIZ ECZANESİ;ERZURUM MERKEZ -1;ACİDPASS;Acidpass 10/800/165 mg 12 Çiğneme Tablet;10;1;11;1.235;
03.08.2026;SELÇUK ECZA DEPOSU;SELÇUK SAMSUN;8680001163717;KARADENİZ ECZANESİ;ORDU DOGU ILCELER;ACİDPASS;Acidpass 10/800/165 mg 12 Çiğneme Tablet;3;0;3;337;
03.08.2026;SELÇUK ECZA DEPOSU;SELÇUK ERZURUM;8680001119646;UÇAR ECZANESİ;ERZURUM MERKEZ -2;ACİDPASS;Acidpass 10/800/165 mg 12 Çiğneme Tablet;10;1;11;1.235;
03.08.2026;SELÇUK ECZA DEPOSU;SELÇUK TRABZON;8680001182701;HİSAR ECZANESİ;GIRESUN GUNEY ILCELER;ACİDPASS;Acidpass 10/800/165 mg 12 Çiğneme Tablet;3;0;3;337;
03.08.2026;SELÇUK ECZA DEPOSU;SELÇUK TRABZON;8680001853953;MÜKAFAT ECZANESİ;TRABZON AKCAABAT;ACİDPASS;Acidpass 10/800/165 mg 12 Çiğneme Tablet;20;3;23;2.581;
03.08.2026;SELÇUK ECZA DEPOSU;SELÇUK SAMSUN;8680001417087;FİKRİ KARTAL ECZANESİ;CORUM KUZEY ILCELER;ACİDPASS;Acidpass 10/800/165 mg 12 Çiğneme Tablet;3;0;3;337;
03.08.2026;SELÇUK ECZA DEPOSU;SELÇUK SAMSUN;8680001140190;DERMAN ECZANESİ;SAMSUN VEZIRKOPRU;ACİDPASS;Acidpass 10/800/165 mg 12 Çiğneme Tablet;2;0;2;224;
03.08.2026;SELÇUK ECZA DEPOSU;SELÇUK SAMSUN;8680001118472;MERKEZ ECZANESİ;SAMSUN HAVZA+KAVAK+LADIK;ACİDPASS;Acidpass 10/800/165 mg 12 Çiğneme Tablet;10;1;11;1.235;
03.08.2026;SELÇUK ECZA DEPOSU;SELÇUK SAMSUN;8680001121885;KARADENİZ ECZANESİ;SAMSUN BAFRA;ACİDPASS;Acidpass 10/800/165 mg 12 Çiğneme Tablet;3;0;3;337;
03.08.2026;SELÇUK ECZA DEPOSU;SELÇUK SAMSUN;8680001469574;TAN ECZANESİ;ORDU UNYE;ACİDPASS;Acidpass 10/800/165 mg 12 Çiğneme Tablet;10;1;11;1.235;
03.08.2026;İSTANBUL ECZA KOOP;İSKOOP MERKEZ;8680001169863;VURAL ECZANESİ;AMASYA MERKEZ -2;ACİDPASS;Acidpass 10/800/165 mg 12 Çiğneme Tablet;1;0;1;112;
03.08.2026;İSTANBUL ECZA KOOP;İSKOOP MERKEZ;8680001720156;LAVANTA ECZANESİ;AMASYA MERKEZ -1;ACİDPASS;Acidpass 10/800/165 mg 12 Çiğneme Tablet;3;0;3;337;
03.08.2026;SELÇUK ECZA DEPOSU;SELÇUK TRABZON;8680001918928;ÖNAL ECZANESİ;TRABZON DOGU ILCELER -1;ACİDPASS;Acidpass 10/800/165 mg 12 Çiğneme Tablet;10;1;11;1.235;
03.08.2026;SELÇUK ECZA DEPOSU;SELÇUK TRABZON;8680001472710;ŞEBİN ECZANESİ;GIRESUN GUNEY ILCELER;ACİDPASS;Acidpass 10/800/165 mg 12 Çiğneme Tablet;1;0;1;112;
03.08.2026;SELÇUK ECZA DEPOSU;SELÇUK TRABZON;8680001130917;PAZAR ECZANESİ;RIZE DOGU ILCELER;ACİDPASS;Acidpass 10/800/165 mg 12 Çiğneme Tablet;20;3;23;2.581;
03.08.2026;SELÇUK ECZA DEPOSU;SELÇUK TRABZON;8680001439249;DİLEK ECZANESİ;GIRESUN DOGU ILCELER -1;ACİDPASS;Acidpass 10/800/165 mg 12 Çiğneme Tablet;20;3;23;2.581;
03.08.2026;SELÇUK ECZA DEPOSU;SELÇUK SAMSUN;8680001114672;MERKEZ ECZANESİ;SINOP MERKEZ;ACİDPASS;Acidpass 10/800/165 mg 12 Çiğneme Tablet;10;1;11;1.235;
03.08.2026;SELÇUK ECZA DEPOSU;SELÇUK TRABZON;8680001132485;YENİ BAYRAKTAR ECZANESİ;ARTVIN KUZEY ILCELER;ACİDPASS;Acidpass 10/800/165 mg 6 Çiğneme Tablet;1;0;1;69;
03.08.2026;SELÇUK ECZA DEPOSU;SELÇUK ERZURUM;8680001749003;DENİZ ECZANESİ;ERZINCAN MERKEZ;ACİDPASS;Acidpass 10/800/165 mg 6 Çiğneme Tablet;2;0;2;138;
03.08.2026;SELÇUK ECZA DEPOSU;SELÇUK TRABZON;8680001663637;HAYAT ECZANESİ;RIZE DOGU ILCELER;FAMTREC;Famtrec 800/26,6mg 14 Film Kaplı Tablet;5;1;6;613;
03.08.2026;SELÇUK ECZA DEPOSU;SELÇUK SAMSUN;8680001127412;AYDIN ECZANESİ;SIVAS MERKEZ -2;FAMTREC;Famtrec 800/26,6mg 14 Film Kaplı Tablet;2;0;2;204;
03.08.2026;SELÇUK ECZA DEPOSU;SELÇUK SAMSUN;8680001158706;AKIN ECZANESİ;SIVAS MERKEZ -2;FAMTREC;Famtrec 800/26,6mg 14 Film Kaplı Tablet;5;1;6;613;
03.08.2026;SELÇUK ECZA DEPOSU;SELÇUK TRABZON;8680001121823;ÖZLEM ECZANESİ;ARTVIN KUZEY ILCELER;FAMTREC;Famtrec 800/26,6mg 14 Film Kaplı Tablet;1;0;1;102;
03.08.2026;SELÇUK ECZA DEPOSU;SELÇUK TRABZON;8680001115228;HALK ECZANESİ;RIZE DOGU ILCELER;FAMTREC;Famtrec 800/26,6mg 14 Film Kaplı Tablet;5;1;6;613;
03.08.2026;SELÇUK ECZA DEPOSU;SELÇUK SAMSUN;8680001702121;YUSUF ECZANESİ;AMASYA MERKEZ -2;FAMTREC;Famtrec 800/26,6mg 14 Film Kaplı Tablet;1;0;1;102;
03.08.2026;SELÇUK ECZA DEPOSU;SELÇUK SAMSUN;8680001656578;ARYA ECZANESİ;CORUM MERKEZ -3;GRİPORT COLD;Griport Cold 20 Film Kaplı Tablet;2;0;2;168;
03.08.2026;SELÇUK ECZA DEPOSU;SELÇUK TRABZON;8680001443925;DOĞANKÖY ŞİFA ECZANESİ;TRABZON AKCAABAT;GRİPORT COLD;Griport Cold 20 Film Kaplı Tablet;10;3;13;1.094;
03.08.2026;İSTANBUL ECZA KOOP;İSKOOP MERKEZ;8680001118212;VATAN ECZANESİ;AMASYA MERKEZ -1;GRİPORT COLD;Griport Cold 20 Film Kaplı Tablet;5;1;6;505;
03.08.2026;SELÇUK ECZA DEPOSU;SELÇUK SAMSUN;8680001630158;SEÇİL ECZANESİ;SAMSUN HURRIYET+ZAFER;GRİPORT COLD;Griport Cold 20 Film Kaplı Tablet;1;0;1;84;
03.08.2026;İSTANBUL ECZA KOOP;İSKOOP MERKEZ;8680001120857;ÖNSOY ECZANESİ;SINOP DOGU-BATI ILCELER;GRİPORT COLD;Griport Cold 20 Film Kaplı Tablet;10;3;13;1.094;
03.08.2026;İSTANBUL ECZA KOOP;İSKOOP MERKEZ;8680001827732;BAZLAMAÇ  ECZANESİ;SAMSUN TERME;GRİPORT COLD;Griport Cold 20 Film Kaplı Tablet;1;0;1;84;
03.08.2026;SELÇUK ECZA DEPOSU;SELÇUK SAMSUN;8680001123148;MERVE ECZANESİ;SINOP DOGU-BATI ILCELER;GRİPORT COLD;Griport Cold 20 Film Kaplı Tablet;5;1;6;505;
03.08.2026;SELÇUK ECZA DEPOSU;SELÇUK TRABZON;8680001714575;ŞAHİN ECZANESİ;GIRESUN BULANCAK+PIRAZIZ;GRİPORT COLD;Griport Cold 20 Film Kaplı Tablet;5;1;6;505;
03.08.2026;SELÇUK ECZA DEPOSU;SELÇUK SAMSUN;8680001157792;GÜNDOĞDU ECZANESİ;ORDU MERKEZ -3;GRİPORT COLD;Griport Cold 20 Film Kaplı Tablet;1;0;1;84;
03.08.2026;SELÇUK ECZA DEPOSU;SELÇUK SAMSUN;8680001900374;YORUKLER ECZANESI;SAMSUN ATAKENT+19 MAYIS;GRİPORT COLD;Griport Cold 20 Film Kaplı Tablet;10;3;13;1.094;
03.08.2026;SELÇUK ECZA DEPOSU;SELÇUK SAMSUN;8680001630158;SEÇİL ECZANESİ;SAMSUN HURRIYET+ZAFER;GRİPORT COLD;Griport Cold 20 Film Kaplı Tablet;1;0;1;84;
03.08.2026;SELÇUK ECZA DEPOSU;SELÇUK SAMSUN;8680001104239;CEDİT ECZANESİ;SAMSUN DOGU ILCELER;MOKSEFEN;Moksefen 400 mg 7 Film Tablet;30;15;45;6.705;
03.08.2026;İSTANBUL ECZA KOOP;İSKOOP MERKEZ;8680001491278;AFİYET ECZANESİ;SAMSUN CANIK;MOKSEFEN;Moksefen 400 mg 7 Film Tablet;10;3;13;1.937;
03.08.2026;SELÇUK ECZA DEPOSU;SELÇUK ERZURUM;8680001930579;BUKET ECZANESİ;ERZURUM GUNEY ILCELER;MOKSEFEN;Moksefen 400 mg 7 Film Tablet;10;3;13;1.937;
03.08.2026;SELÇUK ECZA DEPOSU;SELÇUK SAMSUN;8680001142118;ANADOLU ECZANESİ;ORDU BATI ILCELER;MOKSEFEN;Moksefen 400 mg 7 Film Tablet;30;15;45;6.705;
03.08.2026;SELÇUK ECZA DEPOSU;SELÇUK SAMSUN;8680001866106;MENTEŞOĞLU ECZANESI;SAMSUN DOGU ILCELER - 2;MOKSEFEN;Moksefen 400 mg 7 Film Tablet;5;1;6;894;
