BÖLGE;TTT;BRİCK;İLAÇ GRUBU;İLAÇ; TOPLAM ;TOPLAM PPI %; 1.HAFTA ;1.H PPI %; 2.HAFTA ;2.H PPI %; 3.HAFTA ;3.H PPI %; 4.HAFTA ;4.H PPI %; 5.HAFTA ;5.H PPI %; 6.HAFTA ;6.H PPI %; 7.HAFTA ;7.H PPI %; 8.HAFTA ;8.H PPI %; 9.HAFTA ;9.H PPI %
SAMSUN;YILMAZ USTA;ORDU MERKEZ -2;ACIDPASS PAZARI;TRIGAST; 170 ;6,85%; 32 ;26,02%; 9 ;4,07%; -   ;0,00%; 38 ;16,52%; 47 ;7,97%; 19 ;19,39%; 13 ;4,18%; 12 ;3,18%;;
SAMSUN;YILMAZ USTA;ORDU MERKEZ -2;ACIDPASS PAZARI;TALCID; 785 ;31,61%; 3 ;2,44%; 73 ;33,03%; 230 ;43,15%; 17 ;7,39%; 110 ;18,64%; 21 ;21,43%; 85 ;27,33%; 246 ;65,25%;;
SAMSUN;YILMAZ USTA;ORDU MERKEZ -2;ACIDPASS PAZARI;RENNIE; 750 ;30,21%; 29 ;23,58%; 47 ;21,27%; 251 ;47,09%; 49 ;21,30%; 129 ;21,86%; 58 ;59,18%; 157 ;50,48%; 30 ;7,96%;;
SAMSUN;YILMAZ USTA;ORDU MERKEZ -2;ACIDPASS PAZARI;DIGER ACIDPASS; 43 ;1,73%; -   ;0,00%; 2 ;0,90%; 2 ;0,38%; 13 ;5,65%; 3 ;0,51%; -   ;0,00%; 4 ;1,29%; 19 ;5,04%;;
SAMSUN;YILMAZ USTA;ORDU MERKEZ -2;ACIDPASS PAZARI;FAMODİN PLUS; 228 ;9,18%; 33 ;26,83%; 11 ;4,98%; 11 ;2,06%; 67 ;29,13%; 44 ;7,46%; -   ;0,00%; 27 ;8,68%; 35 ;9,28%;;
SAMSUN;YILMAZ USTA;ORDU MERKEZ -2;ACIDPASS PAZARI; ACIDPASS PAZARI TOPLAM; 2.483 ;100,00%; 123 ;100,00%; 221 ;100,00%; 533 ;100,00%; 230 ;100,00%; 590 ;100,00%; 98 ;100,00%; 311 ;100,00%; 377 ;100,00%;;
SAMSUN;YILMAZ USTA;ORDU MERKEZ -2;MOKSİFLOKSASİN PAZARI;MOKSEFEN; 36 ;32,43%; -   ;0,00%; -   ;0,00%; 30 ;76,92%; -   ;0,00%; -   ;0,00%; -   ;0,00%; -   ;0,00%; 6 ;40,00%;;
SAMSUN;YILMAZ USTA;ORDU MERKEZ -2;MOKSİFLOKSASİN PAZARI;AVELOX; 69 ;62,16%; 5 ;100,00%; 14 ;87,50%; 9 ;23,08%; 10 ;100,00%; 7 ;87,50%; 18 ;100,00%; -   ;0,00%; 6 ;40,00%;;
SAMSUN;YILMAZ USTA;ORDU MERKEZ -2;MOKSİFLOKSASİN PAZARI;MOXAI; 6 ;5,41%; -   ;0,00%; 2 ;12,50%; -   ;0,00%; -   ;0,00%; 1 ;12,50%; -   ;0,00%; -   ;0,00%; 3 ;20,00%;;
SAMSUN;YILMAZ USTA;ORDU MERKEZ -2;MOKSİFLOKSASİN PAZARI;DİĞER MOKSİFLOKSASİN; -   ;0,00%; -   ;0,00%; -   ;0,00%; -   ;0,00%; -   ;0,00%; -   ;0,00%; -   ;0,00%; -   ;0,00%; -   ;0,00%;;
SAMSUN;YILMAZ USTA;ORDU MERKEZ -2;MOKSİFLOKSASİN PAZARI;DİĞER LEVOFLOKSASİN; -   ;0,00%; -   ;0,00%; -   ;0,00%; -   ;0,00%; -   ;0,00%; -   ;0,00%; -   ;0,00%; -   ;0,00%; -   ;0,00%;;
SAMSUN;YILMAZ USTA;ORDU MERKEZ -2;MOKSİFLOKSASİN PAZARI;MOKSİFLOKSASİN PAZARI TOPLAM; 111 ;100,00%; 5 ;100,00%; 16 ;100,00%; 39 ;100,00%; 10 ;100,00%; 8 ;100,00%; 18 ;100,00%; -   ;0,00%; 15 ;100,00%;;
SAMSUN;YILMAZ USTA;ORDU MERKEZ -2;GRİPORT COLD PAZARI;A FERİN; 454 ;29,85%; 46 ;27,38%; 11 ;12,22%; 17 ;16,19%; 58 ;28,16%; 90 ;29,22%; 34 ;19,54%; 58 ;38,41%; 140 ;43,89%;;
SAMSUN;YILMAZ USTA;ORDU MERKEZ -2;GRİPORT COLD PAZARI;GRİPORT COLD; 30 ;30,30%; 7 ;4,17%; 11 ;12,22%; 11 ;10,48%; -   ;0,00%; -   ;0,00%; 1 ;0,57%; -   ;0,00%; -   ;0,00%;;
SAMSUN;YILMAZ USTA;ORDU MERKEZ -2;GRİPORT COLD PAZARI;KATARIN; 210 ;13,81%; 24 ;14,29%; 14 ;15,56%; 22 ;20,95%; 50 ;24,27%; 18 ;5,84%; 10 ;5,75%; 24 ;15,89%; 48 ;15,05%;;
SAMSUN;YILMAZ USTA;ORDU MERKEZ -2;GRİPORT COLD PAZARI;NUROFEN COLD FLUE; 99 ;6,51%; -   ;0,00%; -   ;0,00%; 15 ;14,29%; 13 ;6,31%; 25 ;8,12%; 24 ;13,79%; 5 ;3,31%; 17 ;5,33%;;
SAMSUN;YILMAZ USTA;ORDU MERKEZ -2;GRİPORT COLD PAZARI;OTHER COLD PREP; 256 ;16,83%; 28 ;16,67%; 23 ;25,56%; 19 ;18,10%; 70 ;33,98%; 42 ;13,64%; 48 ;27,59%; 11 ;7,28%; 15 ;4,70%;;
SAMSUN;YILMAZ USTA;ORDU MERKEZ -2;GRİPORT COLD PAZARI;OTHER COLD PREP - VIT C; 447 ;29,39%; 63 ;37,50%; 26 ;28,89%; 20 ;19,05%; 15 ;7,28%; 133 ;43,18%; 53 ;30,46%; 43 ;28,48%; 94 ;29,47%;;
SAMSUN;YILMAZ USTA;ORDU MERKEZ -2;GRİPORT COLD PAZARI;GRİBEX COLD FLUE; 25 ;1,64%; -   ;0,00%; 5 ;5,56%; 1 ;0,95%; -   ;0,00%; -   ;0,00%; 4 ;2,30%; 10 ;6,62%; 5 ;1,57%;;
SAMSUN;YILMAZ USTA;ORDU MERKEZ -2;GRİPORT COLD PAZARI;GRIPORT COLD PAZARI TOPLAM; 1.521 ;100,00%; 168 ;100,00%; 90 ;100,00%; 105 ;100,00%; 206 ;100,00%; 308 ;100,00%; 174 ;100,00%; 151 ;100,00%; 319 ;100,00%;;
SAMSUN;YILMAZ USTA;ORDU MERKEZ -2;FAMTREC PAZARI;FAMTREC; 6 ;1,07%; -   ;0,00%; -   ;0,00%; -   ;0,00%; -   ;0,00%; -   ;0,00%; -   ;0,00%; -   ;0,00%; 6 ;6,00%;;
SAMSUN;YILMAZ USTA;ORDU MERKEZ -2;FAMTREC PAZARI;BRUFEN; 533 ;94,67%; 43 ;93,48%; 131 ;95,62%; 72 ;100,00%; 80 ;100,00%; 72 ;97,30%; 22 ;78,57%; 20 ;76,92%; 93 ;93,00%;;
SAMSUN;YILMAZ USTA;ORDU MERKEZ -2;FAMTREC PAZARI;DİĞER FAMOTİDİN; 24 ;4,26%; 3 ;6,52%; 6 ;4,38%; -   ;0,00%; -   ;0,00%; 2 ;2,70%; 6 ;21,43%; 6 ;23,08%; 1 ;1,00%;;
SAMSUN;YILMAZ USTA;ORDU MERKEZ -2;FAMTREC PAZARI;FAMOTİDİN PAZARI TOPLAM; 563 ;100,00%; 46 ;100,00%; 137 ;100,00%; 72 ;100,00%; 80 ;100,00%; 74 ;100,00%; 28 ;100,00%; 26 ;100,00%; 100 ;100,00%;;
SAMSUN;YILMAZ USTA;ORDU MERKEZ -3;PANTAPROZOL PAZARI;PANOCER TOPLAM; 1.002 ;17,53%; 313 ;37,13%; 14 ;4,03%; 18 ;2,87%; 167 ;21,44%; 383 ;26,76%; 26 ;5,12%; 26 ;5,24%; 55 ;8,03%;;
SAMSUN;YILMAZ USTA;ORDU MERKEZ -3;PANTAPROZOL PAZARI;PANTO; 1.744 ;30,51%; 249 ;29,54%; 130 ;37,46%; 230 ;36,62%; 272 ;34,92%; 314 ;21,94%; 281 ;55,31%; 118 ;23,79%; 150 ;21,90%;;
SAMSUN;YILMAZ USTA;ORDU MERKEZ -3;PANTAPROZOL PAZARI;PANTACTIVE; 229 ;4,01%; 6 ;0,71%; 30 ;8,65%; 12 ;1,91%; 52 ;6,68%; 13 ;0,91%; 12 ;2,36%; 6 ;1,21%; 98 ;14,31%;;
SAMSUN;YILMAZ USTA;ORDU MERKEZ -3;PANTAPROZOL PAZARI;DIGER PANTAPROZOLE; 1.807 ;31,61%; 217 ;25,74%; 104 ;29,97%; 179 ;28,50%; 129 ;16,56%; 633 ;44,23%; 96 ;18,90%; 304 ;61,29%; 145 ;21,17%;;
SAMSUN;YILMAZ USTA;ORDU MERKEZ -3;PANTAPROZOL PAZARI;PULCET; 935 ;16,35%; 58 ;6,88%; 69 ;19,88%; 189 ;30,10%; 159 ;20,41%; 88 ;6,15%; 93 ;18,31%; 42 ;8,47%; 237 ;34,60%;;
SAMSUN;YILMAZ USTA;ORDU MERKEZ -3;PANTAPROZOL PAZARI; PANTOPRAZOLE PAZARI TOPLAM; 5.717 ;100,00%; 843 ;100,00%; 347 ;100,00%; 628 ;100,00%; 779 ;100,00%; 1.431 ;100,00%; 508 ;100,00%; 496 ;100,00%; 685 ;100,00%;;
SAMSUN;YILMAZ USTA;ORDU MERKEZ -3;ACIDPASS PAZARI;ACIDPASS TOPLAM; 1.246 ;30,08%; 38 ;10,50%; 69 ;16,59%; 33 ;6,61%; 104 ;24,59%; 504 ;60,65%; 326 ;58,84%; 143 ;22,34%; 29 ;6,95%;;
SAMSUN;YILMAZ USTA;ORDU MERKEZ -3;ACIDPASS PAZARI;TRIGAST; 424 ;10,24%; 27 ;7,46%; 78 ;18,75%; 57 ;11,42%; 66 ;15,60%; 61 ;7,34%; 11 ;1,99%; 57 ;8,91%; 67 ;16,07%;;
SAMSUN;YILMAZ USTA;ORDU MERKEZ -3;ACIDPASS PAZARI;TALCID; 785 ;18,95%; 90 ;24,86%; 73 ;17,55%; 51 ;10,22%; 43 ;10,17%; 123 ;14,80%; 81 ;14,62%; 95 ;14,84%; 229 ;54,92%;;
SAMSUN;YILMAZ USTA;ORDU MERKEZ -3;ACIDPASS PAZARI;RENNIE; 1.069 ;25,81%; 153 ;42,27%; 97 ;23,32%; 206 ;41,28%; 126 ;29,79%; 96 ;11,55%; 78 ;14,08%; 261 ;40,78%; 52 ;12,47%;;
SAMSUN;YILMAZ USTA;ORDU MERKEZ -3;ACIDPASS PAZARI;DIGER ACIDPASS; 18 ;0,43%; 1 ;0,28%; 7 ;1,68%; 1 ;0,20%; -   ;0,00%; -   ;0,00%; 3 ;0,54%; 5 ;0,78%; 1 ;0,24%;;
SAMSUN;YILMAZ USTA;ORDU MERKEZ -3;ACIDPASS PAZARI;FAMODİN PLUS; 600 ;14,49%; 53 ;14,64%; 92 ;22,12%; 151 ;30,26%; 84 ;19,86%; 47 ;5,66%; 55 ;9,93%; 79 ;12,34%; 39 ;9,35%;;
SAMSUN;YILMAZ USTA;ORDU MERKEZ -3;ACIDPASS PAZARI; ACIDPASS PAZARI TOPLAM; 4.142 ;100,00%; 362 ;100,00%; 416 ;100,00%; 499 ;100,00%; 423 ;100,00%; 831 ;100,00%; 554 ;100,00%; 640 ;100,00%; 417 ;100,00%;;
SAMSUN;YILMAZ USTA;ORDU MERKEZ -3;MOKSİFLOKSASİN PAZARI;MOKSEFEN; 145 ;21,42%; -   ;0,00%; 35 ;33,65%; -   ;0,00%; 5 ;6,02%; 91 ;59,09%; 6 ;5,13%; 8 ;12,50%; -   ;0,00%;;
SAMSUN;YILMAZ USTA;ORDU MERKEZ -3;MOKSİFLOKSASİN PAZARI;AVELOX; 403 ;59,53%; 64 ;83,12%; 56 ;53,85%; 45 ;88,24%; 56 ;67,47%; 48 ;31,17%; 95 ;81,20%; 18 ;28,13%; 21 ;77,78%;;
SAMSUN;YILMAZ USTA;ORDU MERKEZ -3;MOKSİFLOKSASİN PAZARI;MOXAI; 115 ;16,99%; 12 ;15,58%; 13 ;12,50%; 6 ;11,76%; 18 ;21,69%; 15 ;9,74%; 12 ;10,26%; 38 ;59,38%; 1 ;3,70%;;
SAMSUN;YILMAZ USTA;ORDU MERKEZ -3;MOKSİFLOKSASİN PAZARI;DİĞER MOKSİFLOKSASİN; 14 ;2,07%; 1 ;1,30%; -   ;0,00%; -   ;0,00%; 4 ;4,82%; -   ;0,00%; 4 ;3,42%; -   ;0,00%; 5 ;18,52%;;
SAMSUN;YILMAZ USTA;ORDU MERKEZ -3;MOKSİFLOKSASİN PAZARI;DİĞER LEVOFLOKSASİN; -   ;0,00%; -   ;0,00%; -   ;0,00%; -   ;0,00%; -   ;0,00%; -   ;0,00%; -   ;0,00%; -   ;0,00%; -   ;0,00%;;
SAMSUN;YILMAZ USTA;ORDU MERKEZ -3;MOKSİFLOKSASİN PAZARI;MOKSİFLOKSASİN PAZARI TOPLAM; 677 ;100,00%; 77 ;100,00%; 104 ;100,00%; 51 ;100,00%; 83 ;100,00%; 154 ;100,00%; 117 ;100,00%; 64 ;100,00%; 27 ;100,00%;;
SAMSUN;YILMAZ USTA;ORDU MERKEZ -3;GRİPORT COLD PAZARI;A FERİN; 1.585 ;30,86%; 129 ;34,22%; 222 ;47,44%; 116 ;34,42%; 364 ;44,44%; 175 ;19,86%; 169 ;31,71%; 230 ;25,30%; 180 ;22,17%;;
SAMSUN;YILMAZ USTA;ORDU MERKEZ -3;GRİPORT COLD PAZARI;GRİPORT COLD; 157 ;3,06%; -   ;0,00%; 2 ;0,43%; 3 ;0,89%; -   ;0,00%; 113 ;12,83%; 25 ;4,69%; 13 ;1,43%; 1 ;0,12%;;
SAMSUN;YILMAZ USTA;ORDU MERKEZ -3;GRİPORT COLD PAZARI;KATARIN; 294 ;5,72%; 39 ;10,34%; 18 ;3,85%; 5 ;1,48%; 15 ;1,83%; 32 ;3,63%; 42 ;7,88%; 60 ;6,60%; 83 ;10,22%;;
SAMSUN;YILMAZ USTA;ORDU MERKEZ -3;GRİPORT COLD PAZARI;NUROFEN COLD FLUE; 435 ;8,47%; 23 ;6,10%; 23 ;4,91%; 27 ;8,01%; 62 ;7,57%; 165 ;18,73%; 30 ;5,63%; 29 ;3,19%; 76 ;9,36%;;
SAMSUN;YILMAZ USTA;ORDU MERKEZ -3;GRİPORT COLD PAZARI;OTHER COLD PREP; 1.189 ;23,15%; 96 ;25,46%; 105 ;22,44%; 108 ;32,05%; 168 ;20,51%; 285 ;32,35%; 150 ;28,14%; 125 ;13,75%; 152 ;18,72%;;
SAMSUN;YILMAZ USTA;ORDU MERKEZ -3;GRİPORT COLD PAZARI;OTHER COLD PREP - VIT C; 1.336 ;26,01%; 75 ;19,89%; 60 ;12,82%; 71 ;21,07%; 205 ;25,03%; 106 ;12,03%; 103 ;19,32%; 409 ;44,99%; 307 ;37,81%;;
SAMSUN;YILMAZ USTA;ORDU MERKEZ -3;GRİPORT COLD PAZARI;GRİBEX COLD FLUE; 140 ;2,73%; 15 ;3,98%; 38 ;8,12%; 7 ;2,08%; 5 ;0,61%; 5 ;0,57%; 14 ;2,63%; 43 ;4,73%; 13 ;1,60%;;
SAMSUN;YILMAZ USTA;ORDU MERKEZ -3;GRİPORT COLD PAZARI;GRIPORT COLD PAZARI TOPLAM; 5.136 ;100,00%; 377 ;100,00%; 468 ;100,00%; 337 ;100,00%; 819 ;100,00%; 881 ;100,00%; 533 ;100,00%; 909 ;100,00%; 812 ;100,00%;;
SAMSUN;YILMAZ USTA;ORDU MERKEZ -3;FAMTREC PAZARI;FAMTREC; 60 ;3,47%; -   ;0,00%; -   ;0,00%; -   ;0,00%; -   ;0,00%; 14 ;8,28%; 23 ;27,71%; 6 ;3,06%; 17 ;8,33%;;
SAMSUN;YILMAZ USTA;ORDU MERKEZ -3;FAMTREC PAZARI;BRUFEN; 1.529 ;88,38%; 474 ;97,53%; 140 ;100,00%; 122 ;100,00%; 318 ;96,36%; 115 ;68,05%; 55 ;66,27%; 165 ;84,18%; 140 ;68,63%;;
SAMSUN;YILMAZ USTA;ORDU MERKEZ -3;FAMTREC PAZARI;DİĞER FAMOTİDİN; 141 ;8,15%; 12 ;2,47%; -   ;0,00%; -   ;0,00%; 12 ;3,64%; 40 ;23,67%; 5 ;6,02%; 25 ;12,76%; 47 ;23,04%;;
SAMSUN;YILMAZ USTA;ORDU MERKEZ -3;FAMTREC PAZARI;FAMOTİDİN PAZARI TOPLAM; 1.730 ;100,00%; 486 ;100,00%; 140 ;100,00%; 122 ;100,00%; 330 ;100,00%; 169 ;100,00%; 83 ;100,00%; 196 ;100,00%; 204 ;100,00%;;
SAMSUN;ENIS TOK;ORDU UNYE;PANTAPROZOL PAZARI;PANOCER TOPLAM; 508 ;8,64%; 88 ;17,50%; 1 ;0,22%; 86 ;11,83%; 26 ;2,90%; 174 ;12,46%; 52 ;5,11%; 42 ;11,17%; 39 ;7,75%;;
SAMSUN;ENIS TOK;ORDU UNYE;PANTAPROZOL PAZARI;PANTO; 1.203 ;20,46%; 90 ;17,89%; 311 ;67,61%; 120 ;16,51%; 164 ;18,28%; 134 ;9,60%; 103 ;10,13%; 161 ;42,82%; 120 ;23,86%;;
SAMSUN;ENIS TOK;ORDU UNYE;PANTAPROZOL PAZARI;PANTACTIVE; 710 ;12,08%; 52 ;10,34%; 18 ;3,91%; 18 ;2,48%; 352 ;39,24%; 12 ;0,86%; 74 ;7,28%; 24 ;6,38%; 160 ;31,81%;;
SAMSUN;ENIS TOK;ORDU UNYE;PANTAPROZOL PAZARI;DIGER PANTAPROZOLE; 2.750 ;46,78%; 249 ;49,50%; 114 ;24,78%; 501 ;68,91%; 261 ;29,10%; 610 ;43,70%; 740 ;72,76%; 125 ;33,24%; 150 ;29,82%;;
SAMSUN;ENIS TOK;ORDU UNYE;PANTAPROZOL PAZARI;PULCET; 708 ;12,04%; 24 ;4,77%; 16 ;3,48%; 2 ;0,28%; 94 ;10,48%; 466 ;33,38%; 48 ;4,72%; 24 ;6,38%; 34 ;6,76%;;
SAMSUN;ENIS TOK;ORDU UNYE;PANTAPROZOL PAZARI; PANTOPRAZOLE PAZARI TOPLAM; 5.879 ;100,00%; 503 ;100,00%; 460 ;100,00%; 727 ;100,00%; 897 ;100,00%; 1.396 ;100,00%; 1.017 ;100,00%; 376 ;100,00%; 503 ;100,00%;;
SAMSUN;ENIS TOK;ORDU UNYE;ACIDPASS PAZARI;ACIDPASS TOPLAM; 519 ;13,19%; 21 ;3,16%; 50 ;6,98%; 81 ;27,93%; 24 ;14,81%; 97 ;17,48%; 46 ;22,01%; 55 ;7,18%; 145 ;25,35%;;
SAMSUN;ENIS TOK;ORDU UNYE;ACIDPASS PAZARI;TRIGAST; 381 ;9,68%; 25 ;3,76%; 23 ;3,21%; 74 ;25,52%; 55 ;33,95%; 109 ;19,64%; 15 ;7,18%; 68 ;8,88%; 12 ;2,10%;;
SAMSUN;ENIS TOK;ORDU UNYE;ACIDPASS PAZARI;TALCID; 933 ;23,71%; 272 ;40,90%; 369 ;51,54%; 83 ;28,62%; 52 ;32,10%; 84 ;15,14%; 29 ;13,88%; 39 ;5,09%; 5 ;0,87%;;
SAMSUN;ENIS TOK;ORDU UNYE;ACIDPASS PAZARI;RENNIE; 1.893 ;48,11%; 340 ;51,13%; 271 ;37,85%; 25 ;8,62%; 9 ;5,56%; 235 ;42,34%; 102 ;48,80%; 521 ;68,02%; 390 ;68,18%;;
SAMSUN;ENIS TOK;ORDU UNYE;ACIDPASS PAZARI;DIGER ACIDPASS; 29 ;0,74%; 2 ;0,30%; -   ;0,00%; 2 ;0,69%; 11 ;6,79%; 2 ;0,36%; 1 ;0,48%; 2 ;0,26%; 9 ;1,57%;;
SAMSUN;ENIS TOK;ORDU UNYE;ACIDPASS PAZARI;FAMODİN PLUS; 180 ;4,57%; 5 ;0,75%; 3 ;0,42%; 25 ;8,62%; 11 ;6,79%; 28 ;5,05%; 16 ;7,66%; 81 ;10,57%; 11 ;1,92%;;
SAMSUN;ENIS TOK;ORDU UNYE;ACIDPASS PAZARI; ACIDPASS PAZARI TOPLAM; 3.935 ;100,00%; 665 ;100,00%; 716 ;100,00%; 290 ;100,00%; 162 ;100,00%; 555 ;100,00%; 209 ;100,00%; 766 ;100,00%; 572 ;100,00%;;
SAMSUN;ENIS TOK;ORDU UNYE;MOKSİFLOKSASİN PAZARI;MOKSEFEN; 124 ;36,47%; 6 ;15,00%; -   ;0,00%; 49 ;65,33%; 13 ;48,15%; 6 ;22,22%; 18 ;35,29%; 13 ;22,03%; 19 ;34,55%;;
SAMSUN;ENIS TOK;ORDU UNYE;MOKSİFLOKSASİN PAZARI;AVELOX; 204 ;60,00%; 30 ;75,00%; 6 ;100,00%; 26 ;34,67%; 13 ;48,15%; 19 ;70,37%; 33 ;64,71%; 46 ;77,97%; 31 ;56,36%;;
SAMSUN;ENIS TOK;ORDU UNYE;MOKSİFLOKSASİN PAZARI;MOXAI; 8 ;2,35%; -   ;0,00%; -   ;0,00%; -   ;0,00%; 1 ;3,70%; 2 ;7,41%; -   ;0,00%; -   ;0,00%; 5 ;9,09%;;
SAMSUN;ENIS TOK;ORDU UNYE;MOKSİFLOKSASİN PAZARI;DİĞER MOKSİFLOKSASİN; 4 ;1,18%; 4 ;10,00%; -   ;0,00%; -   ;0,00%; -   ;0,00%; -   ;0,00%; -   ;0,00%; -   ;0,00%; -   ;0,00%;;
SAMSUN;ENIS TOK;ORDU UNYE;MOKSİFLOKSASİN PAZARI;DİĞER LEVOFLOKSASİN; -   ;0,00%; -   ;0,00%; -   ;0,00%; -   ;0,00%; -   ;0,00%; -   ;0,00%; -   ;0,00%; -   ;0,00%; -   ;0,00%;;
SAMSUN;ENIS TOK;ORDU UNYE;MOKSİFLOKSASİN PAZARI;MOKSİFLOKSASİN PAZARI TOPLAM; 340 ;100,00%; 40 ;100,00%; 6 ;100,00%; 75 ;100,00%; 27 ;100,00%; 27 ;100,00%; 51 ;100,00%; 59 ;100,00%; 55 ;100,00%;;
SAMSUN;ENIS TOK;ORDU UNYE;GRİPORT COLD PAZARI;A FERİN; 1.223 ;22,26%; 119 ;46,12%; 33 ;13,52%; 104 ;28,89%; 319 ;27,81%; 178 ;18,29%; 98 ;22,32%; 152 ;14,43%; 220 ;21,59%;;
SAMSUN;ENIS TOK;ORDU UNYE;GRİPORT COLD PAZARI;GRİPORT COLD; 96 ;34,66%; 9 ;3,49%; -   ;0,00%; 9 ;2,50%; 2 ;0,17%; 7 ;0,72%; 1 ;0,23%; 60 ;5,70%; 8 ;0,79%;;
SAMSUN;ENIS TOK;ORDU UNYE;GRİPORT COLD PAZARI;KATARIN; 263 ;4,79%; 14 ;5,43%; 12 ;4,92%; 24 ;6,67%; 19 ;1,66%; 5 ;0,51%; 54 ;12,30%; 70 ;6,65%; 65 ;6,38%;;
SAMSUN;ENIS TOK;ORDU UNYE;GRİPORT COLD PAZARI;NUROFEN COLD FLUE; 277 ;5,04%; 6 ;2,33%; 18 ;7,38%; 19 ;5,28%; 82 ;7,15%; 80 ;8,22%; 13 ;2,96%; 20 ;1,90%; 39 ;3,83%;;
SAMSUN;ENIS TOK;ORDU UNYE;GRİPORT COLD PAZARI;OTHER COLD PREP; 946 ;17,22%; 30 ;11,63%; 35 ;14,34%; 129 ;35,83%; 105 ;9,15%; 213 ;21,89%; 73 ;16,63%; 184 ;17,47%; 177 ;17,37%;;
SAMSUN;ENIS TOK;ORDU UNYE;GRİPORT COLD PAZARI;OTHER COLD PREP - VIT C; 1.809 ;32,93%; 40 ;15,50%; 85 ;34,84%; 20 ;5,56%; 460 ;40,10%; 358 ;36,79%; 105 ;23,92%; 318 ;30,20%; 423 ;41,51%;;
SAMSUN;ENIS TOK;ORDU UNYE;GRİPORT COLD PAZARI;GRİBEX COLD FLUE; 879 ;16,00%; 40 ;15,50%; 61 ;25,00%; 55 ;15,28%; 160 ;13,95%; 132 ;13,57%; 95 ;21,64%; 249 ;23,65%; 87 ;8,54%;;
SAMSUN;ENIS TOK;ORDU UNYE;GRİPORT COLD PAZARI;GRIPORT COLD PAZARI TOPLAM; 5.493 ;100,00%; 258 ;100,00%; 244 ;100,00%; 360 ;100,00%; 1.147 ;100,00%; 973 ;100,00%; 439 ;100,00%; 1.053 ;100,00%; 1.019 ;100,00%;;
SAMSUN;ENIS TOK;ORDU UNYE;FAMTREC PAZARI;FAMTREC; 9 ;0,58%; -   ;0,00%; -   ;0,00%; -   ;0,00%; -   ;0,00%; 3 ;1,89%; -   ;0,00%; -   ;0,00%; 6 ;2,03%;;
SAMSUN;ENIS TOK;ORDU UNYE;FAMTREC PAZARI;BRUFEN; 1.135 ;73,08%; 294 ;84,97%; 151 ;70,56%; 74 ;70,48%; 145 ;95,39%; 83 ;52,20%; 74 ;37,56%; 63 ;74,12%; 251 ;85,08%;;
SAMSUN;ENIS TOK;ORDU UNYE;FAMTREC PAZARI;DİĞER FAMOTİDİN; 409 ;26,34%; 52 ;15,03%; 63 ;29,44%; 31 ;29,52%; 7 ;4,61%; 73 ;45,91%; 123 ;62,44%; 22 ;25,88%; 38 ;12,88%;;
SAMSUN;ENIS TOK;ORDU UNYE;FAMTREC PAZARI;FAMOTİDİN PAZARI TOPLAM; 1.553 ;100,00%; 346 ;100,00%; 214 ;100,00%; 105 ;100,00%; 152 ;100,00%; 159 ;100,00%; 197 ;100,00%; 85 ;100,00%; 295 ;100,00%;;
SAMSUN;MURAT KANDIS;RIZE BATI ILCELER;PANTAPROZOL PAZARI;PANOCER TOPLAM; 1.009 ;18,16%; 13 ;3,75%; 55 ;13,48%; -   ;0,00%; 13 ;2,25%; 527 ;35,68%; 75 ;13,81%; 313 ;31,24%; 13 ;2,82%;;
SAMSUN;MURAT KANDIS;RIZE BATI ILCELER;PANTAPROZOL PAZARI;PANTO; 1.774 ;31,94%; 154 ;44,38%; 137 ;33,58%; 219 ;29,63%; 357 ;61,76%; 233 ;15,78%; 284 ;52,30%; 246 ;24,55%; 144 ;31,24%;;
SAMSUN;MURAT KANDIS;RIZE BATI ILCELER;PANTAPROZOL PAZARI;PANTACTIVE; 195 ;3,51%; 24 ;6,92%; 6 ;1,47%; -   ;0,00%; 24 ;4,15%; 6 ;0,41%; 36 ;6,63%; 86 ;8,58%; 13 ;2,82%;;
SAMSUN;MURAT KANDIS;RIZE BATI ILCELER;PANTAPROZOL PAZARI;DIGER PANTAPROZOLE; 1.950 ;35,10%; 111 ;31,99%; 142 ;34,80%; 286 ;38,70%; 150 ;25,95%; 675 ;45,70%; 115 ;21,18%; 323 ;32,24%; 148 ;32,10%;;
SAMSUN;MURAT KANDIS;RIZE BATI ILCELER;PANTAPROZOL PAZARI;PULCET; 627 ;11,29%; 45 ;12,97%; 68 ;16,67%; 234 ;31,66%; 34 ;5,88%; 36 ;2,44%; 33 ;6,08%; 34 ;3,39%; 143 ;31,02%;;
SAMSUN;MURAT KANDIS;RIZE BATI ILCELER;PANTAPROZOL PAZARI; PANTOPRAZOLE PAZARI TOPLAM; 5.555 ;100,00%; 347 ;100,00%; 408 ;100,00%; 739 ;100,00%; 578 ;100,00%; 1.477 ;100,00%; 543 ;100,00%; 1.002 ;100,00%; 461 ;100,00%;;
SAMSUN;MURAT KANDIS;RIZE BATI ILCELER;ACIDPASS PAZARI;ACIDPASS TOPLAM; 1.142 ;44,57%; 76 ;61,79%; 104 ;55,03%; 641 ;82,71%; -   ;0,00%; 218 ;42,33%; 57 ;35,40%; 46 ;28,05%; -   ;0,00%;;
SAMSUN;MURAT KANDIS;RIZE BATI ILCELER;ACIDPASS PAZARI;TRIGAST; 240 ;9,37%; -   ;0,00%; 7 ;3,70%; 5 ;0,65%; 29 ;20,57%; 143 ;27,77%; 32 ;19,88%; 2 ;1,22%; 22 ;4,45%;;
